Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/delay/2,17555,1,2100.0,2124.01683161526,317.9505780000227,2870.0987820000137,389.98473369410425,58.60020903713191,0.003338092226552658,2100,2100,2100,2100,2100,2200,2300,2400,2600,2900,2900
GET,/get,17682,2,110.0,141.70849869132425,99.73537800001964,3065.0310830000008,311.9785092184142,59.0241467499041,0.006676184453105316,110,110,110,110,120,220,450,1800,2000,2200,3100
GET,/image,17674,0,110.0,136.748980150277,100.36845199999789,2441.6505669999965,10568.0,58.99744201209168,0.0,110,110,110,110,150,220,400,780,2000,2300,2400
,Aggregated,52911,3,110.0,797.7491755597396,99.73537800001964,3065.0310830000008,3763.7054298728053,176.62179779912768,0.010014276679657975,110,770,2100,2100,2100,2100,2200,2300,2500,2700,3100
