Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get,26754,0,110.0,116.63844451319541,99.83991199999309,1403.851292,312.0,89.49159815492435,0.0,110,110,110,110,110,120,280,340,1200,1400,1400
,Aggregated,26754,0,110.0,116.63844451319541,99.83991199999309,1403.851292,312.0,89.49159815492435,0.0,110,110,110,110,110,120,280,340,1200,1400,1400
