Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/stream/20,34885,2,7,24.434958930973487,3.021128000000317,1011.5001100000001,4849.721943528737,195.53516159806324,0.011210271554998609,7,10,15,20,47,93,190,340,910,1000,1000
,Aggregated,34885,2,7,24.434958930973487,3.021128000000317,1011.5001100000001,4849.721943528737,195.53516159806324,0.011210271554998609,7,10,15,20,47,93,190,340,910,1000,1000
