Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/image,181449,1044,240.0,466.6715975276326,2.5049440000088907,57543.844054,10507.204492722472,605.4131261845763,3.483355123129351,240,300,340,360,460,630,1000,1800,47000,56000,58000
,Aggregated,181449,1044,240.0,466.6715975276326,2.5049440000088907,57543.844054,10507.204492722472,605.4131261845763,3.483355123129351,240,300,340,360,460,630,1000,1800,47000,56000,58000
