Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/delay/2,18801,1,2100.0,2163.0033794652404,131.7073310000012,4718.301579999999,389.9857454390724,62.89585814189059,0.0033453464252907075,2100,2100,2100,2200,2200,2300,2500,4300,4400,4500,4700
,Aggregated,18801,1,2100.0,2163.0033794652404,131.7073310000012,4718.301579999999,389.9857454390724,62.89585814189059,0.0033453464252907075,2100,2100,2100,2200,2200,2300,2500,4300,4400,4500,4700
