Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/delay/2,8643,16,2100.0,2139.8669747186136,2098.0935989999807,60099.293991999984,389.5223880597015,28.900942782259705,0.053501687436787605,2100,2100,2100,2100,2200,2200,2300,2400,10000,60000,60000
GET,/get,8739,17,100.0,146.4013626359992,97.23421900000062,10104.34742199999,311.6498455200824,29.22195290688043,0.05684554290158683,100,100,110,110,120,200,430,1200,10000,10000,10000
GET,/image,8719,14,100.0,138.5201940957681,97.47673900000109,10102.532110999988,10551.24303245785,29.155075797584445,0.04681397650718915,100,100,110,110,120,140,350,830,10000,10000,10000
,Aggregated,26101,47,110.0,803.8783702881112,97.23421900000062,60099.293991999984,3757.9570897666754,87.27797148672458,0.1571612068455636,110,660,2100,2100,2100,2100,2200,2300,10000,10000,60000
