Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/delay/2,41662,105,2100.0,2187.356631558957,105.53036999999676,60114.66263900002,389.34856703950845,138.9543544592333,0.3502041961072319,2100,2100,2100,2100,2100,2200,2400,2400,10000,60000,60000
GET,/get,42096,90,110.0,215.01329504641785,98.1043150000005,60110.71774499999,311.6149277841125,140.40186513647652,0.3001750252347702,110,110,110,120,140,240,640,5100,10000,60000,60000
GET,/image,41992,74,110.0,177.97271860330497,98.14479199999937,60108.216594,10549.608544484663,140.05499621842745,0.24681057630414438,110,110,120,120,210,320,480,1000,10000,60000,60000
,Aggregated,125750,269,110.0,856.097670392634,98.1043150000005,60114.66263900002,3756.1665526838965,419.4112158141372,0.8971897976461465,110,1000,2100,2100,2100,2100,2300,2400,10000,60000,60000
